ADM1	PLACE_ID	LAT	LON	NAMEAD.06	G3039162	42.5	1.5	Sant Julia de Loria
BS.25	G3572374	26.5	-78.6	City of Freeport District
BS.10	G3572427	23.6	-75.9	Exuma District
BS.06	G3572678	24.3	-75.5	Cat Island
BS.05	G3572807	25.7	-79.3	Bimini District
BS.24	G3572937	22.4	-74.0	Acklins Island District
BS.36	G8030541	24.1	-76.4	Black Point District
BS.37	G8030542	26.4	-77.1	Central Abaco District
BS.38	G8030543	24.4	-78.0	Central Andros District
BS.39	G8030544	25.1	-76.1	Central Eleuthera District
BS.40	G8030545	22.7	-74.2	Crooked Island and Long Cay District
BS.41	G8030546	26.7	-78.1	East Grand Bahama District
BS.42	G8030547	27.2	-78.3	Grand Cay District
BS.43	G8030548	26.5	-77.0	Hope Town District
BS.44	G8030549	24.2	-77.8	Mangrove Cay
BS.45	G8030550	26.3	-77.6	Moore's Island District
BS.46	G8030551	26.8	-77.4	North Abaco District
BS.47	G8030552	24.8	-78.1	North Andros District
BS.48	G8030553	25.5	-76.7	North Eleuthera District
BS.49	G8030554	23.7	-74.9	Rum Cay
BS.50	G8030555	26.0	-77.2	South Abaco District
BS.51	G8030556	23.9	-77.6	South Andros
BS.52	G8030557	24.8	-76.2	South Eleuthera
BS.53	G8030558	25.5	-76.8	Spanish Wells District
BS.54	G8030559	26.6	-78.6	West Grand Bahama District
BT.05	G1337278	27.7	90.8	Bumthang Dzongkhag
BT.06	G1337279	27.0	89.5	Chhukha Dzongkhag
BT.08	G1337280	27.1	89.9	Dagana Dzongkhag
BT.07	G1337281	27.0	90.2	Tsirang Dzongkhag
BT.09	G1337282	27.0	90.4	Sarpang Dzongkhag
BT.10	G1337283	27.3	89.2	Haa Dzongkhag
BT.11	G1337284	27.8	91.2	Lhuentse Dzongkhag
BT.12	G1337285	27.2	91.2	Mongar Dzongkhag
BT.13	G1337286	27.5	89.4	Paro Dzongkhag
BT.14	G1337287	27.0	91.4	Pemagatshel Dzongkhag
BT.15	G1337288	27.7	89.8	Punakha Dzongkhag
BT.16	G1337289	27.0	89.1	Samtse Dzongkhag
BT.17	G1337290	26.9	91.6	Samdrup Jongkhar Dzongkhag
BT.18	G1337291	27.1	90.8	Zhemgang Dzongkhag
BT.19	G1337292	27.2	91.8	Trashigang Dzongkhag
BT.20	G1337293	27.6	89.6	Thimphu Dzongkhag
BT.21	G1337294	27.4	90.5	Trongsa Dzongkhag
BT.22	G1337295	27.5	90.1	Wangdue Phodrang Dzongkhag
BT.23	G7303651	27.9	89.7	Gasa
BT.24	G7303653	27.6	91.5	Trashi Yangste
BW.10	G933043	-25.0	25.0	Southern District
BW.09	G933044	-25.0	25.8	South East District
BW.08	G933210	-21.0	27.5	North East District
BW.11	G933230	-20.0	22.5	North West District
BW.06	G933562	-24.0	25.0	Kweneng District
BW.05	G933654	-24.2	26.5	Kgatleng District
BW.04	G933657	-25.0	22.0	Kgalagadi District
BW.03	G933758	-22.0	22.0	Ghanzi District
BW.12	G933840	-18.5	25.0	Chobe District
BW.01	G933851	-22.0	26.0	Central District
BW.13	G11778168	-21.2	27.5	City of Francistown
BW.14	G11778169	-24.6	25.9	Gaborone
BW.15	G11778170	-24.6	24.7	Jwaneng
BW.16	G11778171	-25.2	25.7	Lobatse
BW.17	G11778172	-22.0	27.8	Selibe Phikwe
BW.18	G11778173	-20.6	26.2	Sowa Town
BY.07	G620134	55.0	29.5	Vitebsk Oblast
BY.06	G625073	54.0	30.8	Mogilyov Oblast
BY.05	G625142	54.0	28.0	Minsk Oblast
BY.04	G625143	53.9	27.6	Horad Minsk
BY.03	G628035	53.5	24.5	Grodno Oblast
BY.02	G628281	52.0	30.0	Homyel' Voblasc'
BY.01	G629631	52.1	23.8	Brest Oblast
BZ.06	G3580913	16.3	-88.9	Toledo District
BZ.05	G3580975	16.8	-88.5	Stann Creek District
BZ.04	G3581511	17.8	-88.8	Orange Walk District
BZ.03	G3582302	18.2	-88.3	Corozal District
BZ.02	G3582429	17.0	-88.9	Cayo District
BZ.01	G3582676	17.6	-88.4	Belize District
CA.01	G5883102	52.3	-117.5	Alberta
CA.02	G5909050	54.0	-125.0	British Columbia
CA.03	G6065171	55.0	-97.0	Manitoba
CA.04	G6087430	46.5	-66.0	New Brunswick/Nouveau-Brunswick
CA.13	G6091069	69.5	-121.5	Northwest Territories
CA.07	G6091530	45.0	-63.0	Nova Scotia
CA.14	G6091732	66.0	-100.1	Nunavut
CA.08	G6093943	49.3	-84.5	Ontario
CA.09	G6113358	46.4	-63.3	Prince Edward Island
CA.10	G6115047	52.0	-72.0	Quebec
CA.11	G6141242	54.0	-106.0	Saskatchewan
CA.12	G6185811	63.0	-135.0	Yukon
CA.05	G6354959	52.0	-56.0	Newfoundland and Labrador
CD.31	G204697	-0.2	20.9	Tshuapa
CD.30	G204704	0.5	25.2	Tshopo
CD.29	G205253	-5.9	29.2	Tanganika
CD.12	G205413	-3.2	28.2	South Kivu Province
CD.27	G205828	-5.0	23.4	Sankuru
CD.11	G206938	-0.7	28.8	Province du Nord-Kivu
CD.25	G208741	2.1	21.5	Mongala
CD.10	G209610	-3.0	26.0	Province du Maniema
CD.23	G210596	-6.3	22.5	Kasai-Central
CD.04	G214138	-6.2	23.5	East Kasai
CD.18	G214140	-5.3	21.4	Kasai Province
CD.17	G215709	1.6	30.2	Ituri
CD.16	G216140	2.8	27.6	Haut Uele
CD.15	G216141	-8.7	25.0	Haut-Lomani
CD.02	G216661	0.2	18.9	Province de l'Equateur
CD.13	G219402	2.8	24.7	Bas Uele
CD.22	G922727	-10.7	25.5	Lualaba
CD.24	G2313191	-2.6	19.3	Mai Ndombe
CD.20	G2313847	-5.0	18.8	Kwilu
CD.19	G2313860	-6.5	17.8	Kwango
CD.06	G2314300	-4.4	16.0	Kinshasa City
CD.08	G2317277	-5.3	14.3	Province du Kongo Central
CD.14	G11288213	-10.5	27.8	Province du Haut-Katanga
CD.21	G11288214	-6.2	24.7	Lomami
CD.26	G11288215	3.6	21.3	Province du Nord-Ubangi
CD.28	G11288216	3.1	19.4	Province du Sud-Ubangi
CF.14	G236178	9.8	22.5	Vakaga
CF.11	G236887	6.2	20.8	Ouaka
CF.08	G237556	5.5	23.3	Mbomou
CF.05	G238639	6.3	25.7	Haut-Mbomou
CF.03	G238640	7.4	23.0	Haute-Kotto
CF.02	G240396	5.0	21.4	Basse-Kotto
CF.01	G240591	8.4	20.7	Bamingui-Bangoran
